Flight,Acc,Acc,Acc,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,,,,TelemPro,LineOfSight,DownLink
time,acceleration,velocity,altitude,altitude,altitude,3D velocity,3D velocity,vertical vel,ground speed,heading,tilt,latitude,longitude,number,fix,UTC,UTC,UTC,time,Distance,SignalStrength
sec,G's,feet/sec,feet AGL,feet AGL,feet MSL,feet/sec,Mach,feet/sec,feet/sec,degrees,degrees,degrees,degrees,of sat's,status,hours,minutes,seconds,stamp,feet,dBm
21.6,-1.058594,204,9670,9273,11336,226.5,0.211,198,110,273,29.05,35.34721167,-117.81635,12,6,17,46,3.4,1184288,9560,-70
21.8,-1.058594,197,9711,9312,11375,220.41,0.206,191,110,273,29.94,35.347215,-117.816425,12,6,17,46,3.6,1184308,9603,-71
22,-1.058594,190,9749,9349,11412,213.86,0.2,184,109,273,30.64,35.34721667,-117.8164983,12,6,17,46,3.8,1184328,9644,-70
22.2,-1.058594,183,9787,9386,11449,208.72,0.195,178,109,273,31.48,35.34722,-117.81657,12,6,17,46,4,1184348,9685,-70
22.4,-1.058594,176,9823,9421,11484,202.79,0.189,171,109,273,32.51,35.34722333,-117.8166433,12,6,17,46,4.2,1184368,9725,-70
22.6,-1.058594,170,9858,9454,11517,197.75,0.185,165,109,273,33.45,35.347225,-117.8167167,12,6,17,46,4.4,1184388,9762,-70
22.8,-1.058594,163,9891,9487,11550,191.38,0.179,158,108,273,34.35,35.34722833,-117.81679,12,6,17,46,4.6,1184408,9800,-71
23,-1.058594,156,9923,9518,11581,186.46,0.174,152,108,273,35.39,35.34723,-117.8168617,12,6,17,46,4.8,1184428,9835,-69
23.2,-1.058594,149,9954,9548,11611,180.8,0.169,145,108,273,36.68,35.34723333,-117.816935,12,6,17,46,5,1184448,9870,-70
23.4,-1.058594,143,9983,9576,11639,175.24,0.164,138,108,273,38.05,35.34723667,-117.8170067,12,6,17,46,5.2,1184468,9902,-69
23.6,-1.058594,136,10011,9604,11667,170.55,0.159,132,108,273,39.29,35.34723833,-117.8170783,12,6,17,46,5.4,1184488,9935,-67
23.8,-1.058594,129,10038,9629,11692,164.54,0.154,125,107,273,40.56,35.34724167,-117.81715,12,6,17,46,5.6,1184508,9964,-67
24,-1.058594,122,10063,9654,11717,160.03,0.149,119,107,273,41.96,35.34724333,-117.8172217,12,6,17,46,5.8,1184528,9994,-66
24.2,-1.058594,115,10087,9677,11740,154.9,0.145,112,107,273,43.69,35.34724667,-117.8172933,12,6,17,46,6,1184548,10022,-67
24.4,-1.058594,109,10109,9699,11762,150.62,0.141,106,107,273,45.27,35.34725,-117.817365,12,6,17,46,6.2,1184568,10048,-67
24.6,-1.058594,102,10130,9720,11783,145.04,0.136,99,106,273,46.96,35.34725167,-117.8174367,12,6,17,46,6.4,1184588,10074,-67
24.8,-1.058594,95,10150,9739,11802,141.01,0.132,93,106,273,48.74,35.347255,-117.8175083,12,6,17,46,6.6,1184608,10098,-66
25,-1.058594,88,10169,9757,11820,136.5,0.128,86,106,273,50.95,35.34725667,-117.8175783,12,6,17,46,6.8,1184628,10121,-68
25.2,-1,81,10186,9774,11837,132.8,0.124,80,106,273,52.96,35.34726,-117.81765,12,6,17,46,7,1184648,10143,-65
25.4,-1.058594,75,10201,9789,11852,128.71,0.12,73,106,273,55.45,35.34726333,-117.81772,12,6,17,46,7.2,1184668,10163,-64
25.6,-1.058594,68,10216,9803,11866,124.56,0.116,67,105,273,57.46,35.347265,-117.8177917,12,6,17,46,7.4,1184688,10182,-67
25.8,-1.058594,61,10229,9817,11880,121.43,0.114,61,105,273,59.85,35.34726833,-117.8178617,12,6,17,46,7.6,1184708,10202,-66
26,-1.058594,55,10241,9828,11891,118.07,0.11,54,105,273,62.78,35.34727167,-117.8179333,12,6,17,46,7.8,1184728,10218,-68
26.2,-1.058594,47,10251,9839,11902,115.04,0.108,47,105,273,65.89,35.34727333,-117.8180033,12,6,17,46,8,1184748,10234,-69
26.4,-1.058594,41,10260,9847,11910,112.72,0.105,41,105,273,68.67,35.34727667,-117.8180733,12,6,17,46,8.2,1184768,10248,-69
