Flight,Acc,Acc,Acc,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,,,,TelemPro,LineOfSight,DownLink
time,acceleration,velocity,altitude,altitude,altitude,3D velocity,3D velocity,vertical vel,ground speed,heading,tilt,latitude,longitude,number,fix,UTC,UTC,UTC,time,Distance,SignalStrength
sec,G's,feet/sec,feet AGL,feet AGL,feet MSL,feet/sec,Mach,feet/sec,feet/sec,degrees,degrees,degrees,degrees,of sat's,status,hours,minutes,seconds,stamp,feet,dBm
15.20,-1.082031,267.00,6443.00,5850.00,7929.00,288.80,0.266,232.00,172.00,285,36.55,35.34862667,-117.81632667,11,6,22,48,10.40,339816,6337,-64
15.40,-1.082031,260.00,6496.00,5896.00,7975.00,281.81,0.260,224.00,171.00,284,37.36,35.34865000,-117.81643833,11,6,22,48,10.60,339836,6392,-63
15.60,-1.082031,253.00,6547.00,5940.00,8019.00,277.06,0.255,218.00,171.00,284,38.11,35.34867333,-117.81654833,11,6,22,48,10.80,339856,6446,-65
15.80,-1.082031,245.00,6597.00,5983.00,8062.00,271.59,0.250,211.00,171.00,284,39.02,35.34869667,-117.81666000,11,6,22,48,11.00,339876,6499,-64
16.00,-1.082031,238.00,6645.00,6025.00,8104.00,265.55,0.245,204.00,170.00,284,39.81,35.34872000,-117.81677167,11,6,22,48,11.20,339896,6551,-66
16.20,-1.082031,231.00,6693.00,6065.00,8144.00,259.56,0.239,197.00,169.00,284,40.63,35.34874333,-117.81688167,11,6,22,48,11.40,339916,6601,-68
16.40,-1.082031,224.00,6738.00,6104.00,8183.00,254.29,0.234,190.00,169.00,284,41.65,35.34876500,-117.81699167,11,6,22,48,11.60,339936,6650,-72
16.60,-1.082031,217.00,6783.00,6141.00,8220.00,249.16,0.230,184.00,168.00,284,42.40,35.34878833,-117.81710167,11,6,22,48,11.80,339956,6697,-67
16.80,-1.140625,210.00,6826.00,6178.00,8257.00,244.03,0.225,177.00,168.00,284,43.51,35.34881000,-117.81721000,11,6,22,48,12.00,339976,6744,-67
17.00,-1.082031,203.00,6867.00,6212.00,8291.00,238.30,0.220,170.00,167.00,284,44.49,35.34883333,-117.81731833,11,6,22,48,12.20,339996,6788,-69
17.20,-1.082031,196.00,6907.00,6246.00,8325.00,233.36,0.215,163.00,167.00,284,45.69,35.34885667,-117.81742833,11,6,22,48,12.40,340016,6833,-68
17.40,-1.082031,189.00,6946.00,6278.00,8357.00,229.21,0.211,157.00,167.00,284,46.77,35.34887833,-117.81753667,11,6,22,48,12.60,340036,6876,-68
17.60,-1.082031,183.00,6983.00,6309.00,8388.00,223.73,0.206,150.00,166.00,284,47.90,35.34890167,-117.81764500,11,6,22,48,12.80,340056,6918,-67
